date,open,high,low,close,adj_close,volume,year,weekday,change,nChange
2017-03-21,262.829987,264.799988,250.240005,250.679993,250.679993,6908600,2017,1,-0.04291394105879182,0.3324519261547848
2017-03-22,251.559998,255.070007,250.50999500000003,255.00999500000003,255.00999500000003,4059300,2017,2,0.017273025853323826,0.47251002383038243
2017-03-23,255.389999,257.670013,253.300003,254.77999900000003,254.77999900000003,3320200,2017,3,-0.0009019097467140449,0.43021603501325556
2017-03-24,255.699997,263.890015,255.00999500000003,263.160004,263.160004,5647300,2017,4,0.03289114150597034,0.5088541640955203
2017-03-27,260.600006,270.570007,259.75,270.220001,270.220001,6230800,2017,0,0.026827773570029318,0.494744402095798
2017-03-28,277.019989,280.679993,275.0,277.450012,277.450012,7987600,2017,1,0.026756017220205656,0.49457742146248046
2017-03-29,278.339996,279.600006,275.540009,277.380005,277.380005,3676200,2017,2,-0.00025232293015735156,0.43172765619089243
2017-03-30,278.040009,282.0,277.209991,277.920013,277.920013,4148400,2017,3,0.0019468166063375777,0.43684516444570154
2017-03-31,278.730011,279.679993,276.320007,278.299988,278.299988,3294600,2017,4,0.001367209924533221,0.4354963905596188
2017-04-03,286.899994,299.0,284.579987,298.519989,298.519989,13888600,2017,0,0.07265541455934243,0.601387626488476
2017-04-04,296.890015,304.809998,294.5299990000001,303.700012,303.700012,10134600,2017,1,0.01735234889078066,0.4726946125262088
2017-04-05,302.040009,304.880005,294.200012,295.0,295.0,7880900,2017,2,-0.028646729194070675,0.36565244539386466
2017-04-06,296.880005,301.940002,294.100006,298.700012,298.700012,5520600,2017,3,0.012542413559322086,0.4615016512086794
2017-04-07,297.5,302.690002,297.149994,302.540009,302.540009,4579600,2017,4,0.012855697508308042,0.46223067870713
2017-04-10,309.149994,313.730011,308.709991,312.390015,312.390015,7664500,2017,0,0.03255769718708512,0.5080782224028281
2017-04-11,313.380005,313.470001,305.5,308.709991,308.709991,5724600,2017,1,-0.011780222873000607,0.40490165350252233
2017-04-12,306.339996,308.450012,296.320007,296.839996,296.839996,6050700,2017,2,-0.038450310472782905,0.34283901892049745
2017-04-13,296.700012,307.390015,295.299988,304.0,304.0,9284600,2017,3,0.024120752245260155,0.48844502738784734
2017-04-17,302.700012,304.0,298.679993,301.440002,301.440002,4138700,2017,0,-0.008421046052631604,0.4127186268333737
2017-04-18,299.700012,300.839996,297.899994,300.25,300.25,3035700,2017,1,-0.00394772423070775,0.42312827159225047
2017-04-19,302.459991,306.619995,302.109985,305.519989,305.519989,3898000,2017,2,0.0175520033305579,0.4731592184444389
2017-04-20,306.51001,309.149994,300.230011,302.51001,302.51001,6149400,2017,3,-0.00985198713135587,0.4093887550080559
2017-04-21,302.0,306.399994,300.420013,305.600006,305.600006,4509800,2017,4,0.010214524802005675,0.4560845370446408
2017-04-24,309.220001,310.549988,306.019989,308.0299990000001,308.0299990000001,5083500,2017,0,0.007951547618752603,0.4508184753766303
2017-04-25,308.0,313.980011,305.859985,313.790009,313.790009,6737700,2017,1,0.01869950984871414,0.4758295237987191
2017-04-26,312.369995,314.5,309.0,310.170013,310.170013,4695000,2017,2,-0.011536364754048031,0.4054691236043654
2017-04-27,311.690002,313.089996,307.5,308.630005,308.630005,3468600,2017,3,-0.00496504476723867,0.420760915561818
2017-04-28,309.829987,314.799988,308.0,314.070007,314.070007,4505500,2017,4,0.017626290094509743,0.4733320874786397
2017-05-01,314.880005,327.25,314.809998,322.829987,322.829987,8829600,2017,0,0.02789180693717131,0.49722046123137253
2017-05-02,324.0,327.660004,316.559998,318.890015,318.890015,5382800,2017,1,-0.01220447962908728,0.403914386703212
2017-05-03,317.670013,321.5299990000001,310.450012,311.019989,311.019989,7133400,2017,2,-0.024679436889863095,0.3748845340263041
2017-05-04,307.440002,307.769989,290.76001,295.459991,295.459991,14152000,2017,3,-0.05002893238479282,0.31589498366002217
2017-05-05,298.0,308.549988,296.799988,308.350006,308.350006,8177300,2017,4,0.043626938985454736,0.5338369045317123
2017-05-08,310.899994,313.790009,305.820007,307.190002,307.190002,7006500,2017,0,-0.0037619717121069713,0.4235605270410367
2017-05-09,309.380005,321.98999,309.100006,321.26001,321.26001,9676500,2017,1,0.045802297953694567,0.5388990742087141
2017-05-10,321.559998,325.5,318.119995,325.220001,325.220001,5741600,2017,2,0.012326436147468221,0.4609990609138516
2017-05-11,323.399994,326.0,319.600006,323.100006,323.100006,4753800,2017,3,-0.006518648894537138,0.4171456006560493
2017-05-12,325.480011,327.0,321.5299990000001,324.809998,324.809998,4121600,2017,4,0.0052924542502175,0.44463063143223214
2017-05-15,318.380005,320.200012,312.5299990000001,315.880005,315.880005,7622000,2017,0,-0.02749297452352444,0.3683372905128586
2017-05-16,317.589996,320.059998,315.140015,317.01001,317.01001,4152500,2017,1,0.003577323610590799,0.4406394362121439
2017-05-17,314.390015,314.630005,305.5,306.109985,306.109985,6711900,2017,2,-0.03438385115977892,0.3523018741676507
2017-05-18,307.0,313.940002,305.309998,313.059998,313.059998,5653800,2017,3,0.022704300220719727,0.4851488723199975
2017-05-19,315.5,316.5,310.200012,310.829987,310.829987,4687600,2017,4,-0.007123270345130425,0.4157386161454722
2017-05-22,312.799988,314.369995,306.799988,310.350006,310.350006,4329200,2017,0,-0.0015441914232039952,0.4287214132637923
2017-05-23,310.459991,310.730011,303.480011,303.859985,303.859985,4318400,2017,1,-0.020911940952242202,0.3836516864696931
2017-05-24,306.51001,311.0,305.399994,310.220001,310.220001,5033300,2017,2,0.020930745455016164,0.48102172122147735
2017-05-25,311.019989,316.970001,307.809998,316.829987,316.829987,5014000,2017,3,0.021307414024539287,0.481898247918339
2017-05-26,317.2799990000001,325.48999,316.309998,325.140015,325.140015,7802200,2017,4,0.026228666290984595,0.4933502493396185
2017-05-30,326.0,336.2799990000001,325.76001,335.100006,335.100006,7782900,2017,1,0.030632929016749914,0.5035991901100507
2017-05-31,337.690002,342.890015,335.160004,341.01001,341.01001,9963400,2017,2,0.017636538030978175,0.4733559349419778
2017-06-01,344.0,344.880005,337.290009,340.369995,340.369995,7608000,2017,3,-0.0018768217390451537,0.4279473657971045
2017-06-02,339.769989,342.880005,335.929993,339.850006,339.850006,5590200,2017,4,-0.0015277169187607432,0.42875975026382485
2017-06-05,338.5,348.440002,334.209991,347.320007,347.320007,6784400,2017,0,0.02198028797445414,0.48346405942597237
2017-06-06,344.700012,359.48999,339.970001,352.850006,352.850006,11086800,2017,1,0.01592191318826051,0.46936591673672384
2017-06-07,356.339996,360.5,355.140015,359.649994,359.649994,9398000,2017,2,0.019271610838515855,0.4771608315621916
2017-06-08,363.75,371.899994,360.220001,370.0,370.0,9061500,2017,3,0.02877799575328231,0.4992826671562388
2017-06-09,374.420013,376.869995,354.799988,357.320007,357.320007,17261400,2017,4,-0.034270251351351415,0.3525662266326603
2017-06-12,357.98999,364.5,350.619995,359.01001,359.01001,10517700,2017,0,0.004729662394750952,0.4433209864923391
2017-06-13,367.619995,376.0,366.609985,375.950012,375.950012,11807900,2017,1,0.04718531942883707,0.5421174347075212
2017-06-14,381.089996,384.25,376.309998,380.660004,380.660004,12818400,2017,2,0.01252824005761702,0.46146866875769277
2017-06-15,372.5,375.459991,366.48999,375.339996,375.339996,10426500,2017,3,-0.013975747239260865,0.39979255793058815
2017-06-16,377.980011,378.01001,370.100006,371.399994,371.399994,6731000,2017,4,-0.010497154691715808,0.4078874176617503
2017-06-19,375.0,376.700012,367.799988,369.799988,369.799988,6549300,2017,0,-0.004308039918815959,0.42228979887252033
2017-06-20,376.670013,378.880005,369.730011,372.23999,372.23999,7438700,2017,1,0.006598166790638168,0.44766909015352846
2017-06-21,374.350006,376.98999,368.019989,376.399994,376.399994,4923200,2017,2,0.01117559668965179,0.4583209996414312
2017-06-22,377.98999,385.0,373.570007,382.609985,382.609985,7529800,2017,3,0.016498382303374855,0.47070738934738965
2017-06-23,382.450012,386.98999,379.350006,383.450012,383.450012,6445800,2017,4,0.0021955177149912083,0.4374239044280419
2017-06-26,386.690002,386.950012,373.100006,377.48999,377.48999,6604100,2017,0,-0.015543152467028839,0.39614512717022904
2017-06-27,376.399994,376.399994,362.019989,362.369995,362.369995,6996400,2017,1,-0.040054028982331326,0.33910708532792294
