district,state,cases,deaths,current_avg_growth_rate,day0,day1,day2,day3,day4,population,state_code,cases_per_million
Jamtara,Jharkhand,2.0,0.0,,,,,,,790207.0,JH,2.5309823881590523
Jamui,Bihar,1.0,0.0,,,,,,,1756078.0,BR,0.569450787493494
Jangoan,Telangana,3.0,0.0,,,,,,,582457.0,TG,5.150594807857062
Janjgir Champa,Chhattisgarh,0.0,0.0,,,,,,,1620632.0,CT,0.0
Jashpur,Chhattisgarh,0.0,0.0,,,,,,,852043.0,CT,0.0
Jaunpur,Uttar Pradesh,12.0,0.0,,,,,,,4476072.0,UP,2.680922022702048
Jayashankar,Telangana,3.0,0.0,,,,,,,712257.0,TG,4.211962816792252
Jehanabad,Bihar,21.0,0.0,45.67,,,,,45.67,1124176.0,BR,18.68034898450065
Jhabua,Madhya Pradesh,2.0,0.0,,,,,,,1024091.0,MP,1.9529514466976083
Jhajjar,Haryana,84.0,0.0,0.58,6.39,3.25,1.22,0.58,0.58,956907.0,HR,87.78282529023197
Jhalawar,Rajasthan,47.0,0.0,0.0,13.78,12.53,9.0,4.0,0.0,1411327.0,RJ,33.30199167166787
Jhansi,Uttar Pradesh,30.0,2.0,14.54,14.12,14.97,13.1,13.9,14.54,2000755.0,UP,14.994339636787114
Jhargram,West Bengal,3.0,0.0,,,,,,,1136548.0,WB,2.6395717558783263
Jharsuguda,Odisha,2.0,0.0,,,,,,,579499.0,OR,3.451257034093243
Jhunjhunu,Rajasthan,47.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,2139658.0,RJ,21.966127296979238
Jind,Haryana,18.0,0.0,0.0,46.67,26.67,16.67,6.67,0.0,1332042.0,HR,13.513087425171278
Jiribam,Manipur,0.0,0.0,,,,,,,43818.0,MN,0.0
Jodhpur,Rajasthan,919.0,16.0,2.31,5.85,4.35,2.68,2.38,2.31,3685681.0,RJ,249.343337092928
Jogulamba Gadwal,Telangana,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,664971.0,TG,67.67212404751486
Jorhat,Assam,3.0,0.0,,,,,,,1091295.0,AS,2.749027531510728
Junagadh,Gujarat,4.0,0.0,,,,,,,2742291.0,GJ,1.458634404590906
Kabeerdham,Chhattisgarh,6.0,0.0,,,,,,,584667.0,CT,10.26225184592255
Kachchh,Gujarat,14.0,1.0,,,,,,,2090313.0,GJ,6.697561561354688
